"ID, 34"
"Neighbor ID, 0"
"Contador, 1"
"Ticks, 50"
"Messages Received, 0"
"ID, 34"
"Neighbor ID, 0"
"Contador, 2"
"Ticks, 50"
"Messages Received, 0"
"ID, 34"
"Neighbor ID, 9"
"Contador, 3"
"Ticks, 51"
"Messages Received, 1"
"ID, 34"
"Neighbor ID, 9"
"Contador, 4"
"Ticks, 51"
Messages Received
"Ticks, 112"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 118"
"Ticks, 113"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 119"
"Ticks, 113"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 120"
"Ticks, 114"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 121"
"Ticks, 115"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 122"
"Ticks, 115"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 123"
"Ticks, 116"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 124"
"Ticks, 116"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 125"
"Ticks, 117"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 126"
"Ticks, 117"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 127"
"Ticks, 118"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 128"
"Ticks, 118"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 129"
"Ticks, 119"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 130"
"Ticks, 120"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 131"
"Ticks, 120"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 132"
"Ticks, 121"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 133"
"Ticks, 121"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 9"
"Contador, 134"
"Ticks, 122"
"Messages Received, 13"
"ID, 34"
"Neighbor ID, 23"
"Contador, 135"
"Ticks, 122"
"Messages Received, 14"
"ID, 34"
"Neighbor ID, 23"
"Contador, 136"
"Ticks, 123"
"Messages Received, 14"
"ID, 34"
"Neighbor ID, 23"
"Contador, 137"
"Ticks, 123"
"Messages Received, 14"
"ID, 34"
"Neighbor ID, 23"
"Contador, 138"
"Ticks, 124"
"Messages Received, 14"
"ID, 34"
"Neighbor ID, 23"
"Contador, 139"
"Ticks, 124"
"Messages Received, 14"
"ID, 34"
"Neighbor ID, 31"
"Contador, 140"
"Ticks, 125"
"Messages Received, 15"
"ID, 34"
"Neighbor ID, 31"
"Contador, 141"
"Ticks, 126"
"Messages Received, 15"
"ID, 34"
"Neighbor ID, 31"
"Contador, 142"
"Ticks, 126"
"Messages Received, 15"
"ID, 34"
"Neighbor ID, 31"
"Contador, 143"
"Ticks, 127"
"Messages Received, 15"
"ID, 34"
"Neighbor ID, 31"
"Contador, 144"
"Ticks, 127"
"Messages Received, 15"
"ID, 34"
"Neighbor ID, 31"
"Contador, 145"
"Ticks, 128"
"Messages Received, 15"
"ID, 34"
"Neighbor ID, 29"
"Contador, 146"
"Ticks, 128"
"Messages Received, 15"
"ID, 34"
"Neighbor ID, 29"
"Contador, 147"
"Ticks, 129"
"Messages Received, 16"
"ID, 34"
"Neighbor ID, 29"
"Contador, 148"
"Ticks, 130"
"Messages Received, 16"
"ID, 34"
"Neighbor ID, 29"
"Contador, 149"
"Ticks, 130"
"Messages Received, 16"
"ID, 34"
"Neighbor ID, 29"
"Contador, 150"
"Ticks, 131"
"Messages Received, 16"
"ID, 34"
"Neighbor ID, 29"
"Contador, 151"
"Ticks, 131"
"Messages Received, 16"
"ID, 34"
"Neighbor ID, 9"
"Contador, 152"
"Ticks, 132"
"Messages Received, 17"
"ID, 34"
"Neighbor ID, 9"
"Contador, 153"
"Ticks, 132"
"Messages Received, 17"
"ID, 34"
"Neighbor ID, 9"
"Contador, 154"
"Ticks, 133"
"Messages Received, 17"
"ID, 34"
"Neighbor ID, 9"
"Contador, 155"
"Ticks, 133"
"Messages Received, 17"
"ID, 34"
"Neighbor ID, 9"
"Contador, 156"
"Ticks, 134"
"Messages Received, 17"
"ID, 34"
"Neighbor ID, 9"
"Contador, 157"
"Ticks, 135"
"Messages Received, 17"
"ID, 34"
"Neighbor ID, 9"
"Contador, 158"
"Ticks, 135"
"Messages Received, 17"
"ID, 34"
"Neighbor ID, 9"
"Contador, 159"
"Ticks, 136"
"Messages Received, 17"
